Claim Cost (USD) (United Stated Dollar),Claim Recorded Date,Claim Recorded Month,Claim Recorded Year,Consumer State,Consumer Zip Code,Country of Service,Country of Service-Description,Failure Date,GSIR Base Warranty Flag,GSIR Base Warranty Flag-Description,Global Component Code,Global Component Code-Description,Global Component Group,Global Component Group-Description,Global Component Section,Global Component Section-Description,Global Defect Code,Global Defect Code-Description,Global Defect Section,Global Defect Section-Description,Global Repair Action Code,Global Repair Action Code-Description,Global Symptom Code,Global Symptom Code-Description,Global Symptom Group,Global Symptom Group-Description,Labor Cost (USD) (United Stated Dollar),Months in Service,NAR Kenmore Job Code,NAR Kenmore Job Code-Description,Part Cost (USD) (United Stated Dollar),Parts Replaced Flag,Parts Replaced Quantity,Region Service Component Code,Region Service Component Code-Description,Region Service Condition Code,Region Service Condition Code-Description,Region of Service,Region of Service-Description,Repeat Repair Flag,Repeat Repair Interval,Service Claim Id,Service Claim Type,Service Claim Type-Description,Service Company Number,Service Company Number-Description,Service Company Type,Service Company Type-Description,Service Complete Date,Service Provider Code,Service Provider Code-Description,Service Request Number,Service Responsibility Code,Service Responsibility Code-Description,Stock Repair Flag,Warranty Type Code,Warranty Type Code-Description,Customer Requested Comment,Service Technician Comment,Componente ,Horizon comment,Active SKU Flag,Active SKU Flag-Description,Architecture Code,Architecture Code-Description,Brand,Brand-Description,Unadjusted Total Claim Count,Commercial Segment,Commercial Segment-Description,DPL Platform Code,DPL Platform Code-Description,Division,Division-Description,Electronic Control Flag,Electronic Control Flag-Description,Comment,Engineering Model Number,Engineering Model Number-Description,GSIR Product Flag,GSIR Product Flag-Description,Global Product Category,Global Product Category-Description,Global Product Code,Global Product Code-Description,Global Product Family,Global Product Family-Description,Global Product Group,Global Product Group-Description,Global Product Platform,Global Product Platform-Description,NAR Product Code,NAR Product Code-Description,NAR Product Main Group,NAR Product Main Group-Description,NAR Product Summary Group,NAR Product Summary Group-Description,OEM Supplier,OEM Supplier-Description,Product Id,Production Date,Production Line,Production Line-Description,Production Month,Production Quarter,Production Shift,Production Shift-Description,Production Year,Production Year Week,Purchase Date,Sales Model Number,Sales Model Number-Description,Serial Number,Ship-to Channel,Ship-to Channel-Description,Ship-to High Level,Ship-to High Level-Description,Ship-to State,Shipped Date,Shipped Month,Shipped Year,Shipped-to Country,Shipped-to Country-Description,Shipped-to Region,Shipped-to Region-Description,Sold-to Name,Sold-to Name-Description,,
432.48,2019-11-02,2019/11,2019,?,36910,?,(?),2019-10-28,y, ,9905,"WARNING, IMMEDIATE ALERT (9905)",?, ,?, ,A1,"Misoperating (component, module) (A1)",MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,432.48,3,?,(?),0,N,0,950,950 (950),53,INADEQUATE/INEFFI (53),NAR,North America (NAR),N,0,1085845404,SC,SERVICE CALL (SC),47555,47555 (47555),?,UNKNOWN (?),2019-10-29,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),RAMIA20 ALERTA INMEDIATA ESCENARIO 1 1. DESCRIPCIÓN DE LA STUACIÓN (SI MENCIONA DEMANDA EN PROFECO_ INCLUIRLO) NO DREN_ DA TOQU,P. NO DRENA_ DA TOQUES C. APTO. NO CUENTA CON INSTALACION_ CTE. LA LLENA A CUBETADAS_ UTILIZA EXTENSION. NO TIENE CONTACTO. S. CTE. NO SABE EL FUNCIONAMEINTO CORRECTO DEL APTO. Y SE AHCEN REOCMEDNACIONES NECESARIAS PARA EL BUEN FUNCIOANMEINTO DEL ATPO.,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1809EQ2,8MWTW1809EQ2 (8MWTW1809EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1809EQ:HL91889402,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-08-20,8MWTW1809EQ,LAV. AUTOMATICA NE (8MWTW1809EQ),HL91889402,?,(?),?,(?),ESTADO DE MEXICO,2019-05-16,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
115,2019-11-14,2019/11,2019,ESTADO DE MÉXICO,56430,MX,Mexico (MX),2019-10-24,y, ,5210,CONTROL BOARD / SENSOR BOARD (5210),CE01,BOARDS (CE01),CE,CONTROLS-ELECTRONICS (CE),?,Not Available (?),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,115,3,?,(?),0,N,0,153,MICROCMPU/CPU/ERC (153),C0,C0 (C0),NAR,North America (NAR),N,0,1085924593,SC,SERVICE CALL (SC),47430,47430 (47430),?,UNKNOWN (?),2019-10-29,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),P. NO LAVA S.RESETEO DE TARJETA / TARJETA BLOQUEADA,P. NO LAVA S.RESETEO DE TARJETA / TARJETA BLOQUEADA,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),2,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92911230,2019-07-04,?,(?),2019/07,2019Q3,?,(?),2019,201929,2019-08-17,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92911230,?,(?),?,(?),ESTADO DE MEXICO,2019-07-18,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
257.68,2019-12-05,2019/12,2019,JALISCO,46560,MX,Mexico (MX),2019-11-29,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,257.68,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086057244,SC,SERVICE CALL (SC),47549,47549 (47549),?,UNKNOWN (?),2019-12-02,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CHAVER4NO EXPRIME SE PROGRAMA UN CICLO DE EXPRIMIR Y DRENAR _ MANGUERA DE DRENADO ESTA EN ALTO _ SE PROGRAMA CICLO DER ENAR Y EXP,TAG AR P. NO EXPRIME C. DESCONOCIMIENTO DE FUNCIONAMIENTO S.SE HICIERON RECOMENDACIONES DE USO E INSTALACION_ SE CALIBR O TARJETA,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1612MJQ0,8MWTW1612MJQ0 (8MWTW1612MJQ0),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1612MJQ:HL94018179,2019-10-07,?,(?),2019/10,2019Q4,?,(?),2019,201940,2019-11-16,8MWTW1612MJQ,8MWTW1612MJQ (8MWTW1612MJQ),HL94018179,?,(?),?,(?),GUANAJUATO,2019-10-10,2019/10,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
180,2019-11-02,2019/11,2019,?,20070,?,(?),2019-10-23,y, ,7660,HOSE WASHERS/SCREENS/VALVE SCREENS (7660),?, ,?, ,M1,"Blocked, clogged (M1)",MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,180,1,?,(?),0,N,0,315,HOSE WASHR/SCREENS (315),11,PLUGGED/BLOCKED (11),NAR,North America (NAR),N,0,1085845478,SC,SERVICE CALL (SC),79838,79838 (79838),?,UNKNOWN (?),2019-10-31,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),RAMIA20 TARDA EN LLENAR//ENVIAR TÉCNICO ENVIAR TÉCNICO PROEMA: TARDA EN LLENAR / UTILIZA TINACO. // CTE INDICA CONTAR CON BUENA,DR. AA. P. TARDA EN LLENAR C. CEDAZOS SUCIOS S. SE LIMPIAN CEDAZOS,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2081EN1,8MWTW2081EN1 (8MWTW2081EN1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2081EN:HL93354528,2019-08-19,?,(?),2019/08,2019Q3,?,(?),2019,201933,2019-10-06,8MWTW2081EN,8MWTW2081EN (8MWTW2081EN),HL93354528,5100,MX National Chains (,2087876,"GRUPO FAMSA, S.A. DE C.V. (0002087876)",GUANAJUATO,2019-09-06,2019/09,2019,MX,Mexico (MX),NAR,North America (NAR),2086747,"GRUPO FAMSA, S.A.B. DE C.V. (0002086747)",,
214.06,2019-11-28,2019/11,2019,SAN LUIS POTOS�?,78380,MX,Mexico (MX),2019-11-26,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,214.06,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086025588,SC,SERVICE CALL (SC),47421,47421 (47421),?,UNKNOWN (?),2019-11-27,?,NOT APPLICABLE (?),476189462,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),NO LAVA,EPR. P. NO LAVA C. SIN FALLA S. EXPLICACIÓN Y DEMOSTRACIÓNE USO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1701EQ2,8MWTW1701EQ2 (8MWTW1701EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1701EQ:HL92790666,2019-07-08,?,(?),2019/07,2019Q3,?,(?),2019,201927,2019-11-16,8MWTW1701EQ,LAV. AUTOMATICA NE (8MWTW1701EQ),HL92790666,?,(?),?,(?),NUEVO LEON,2019-07-11,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM01,(RM01),,
0.01,2019-11-21,2019/11,2019,ESTADO DE MÉXICO,54740,MX,Mexico (MX),2019-11-11,y, ,9910,INSTRUCTION FOR USE (9910),II01,INSTRUCTION FOR USE (II01),II,Installation and Instruct (II),N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,921,GENERAL INSTRUCT (921),90,EXPN GEN OPER (90),NAR,North America (NAR),N,0,1085975904,SC,SERVICE CALL (SC),11100,CENTRO DE SOLUCIONES MEXICO (11100),?,UNKNOWN (?),2019-11-16,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),POSADD// QUOT CONEXIÓN LAVADORA 450 QUOT // EQUIPO UBICADO N SU LUGAR DE INSTALACIÓN/SUMINISTRO DE AGUA Y DRENAJE HABIITADO/SUMI,ROAE- PROBLEMA CONEXIÓN CAUSA PRODUCTO NUEVO SOLUCIÓN DEMORACIÓN DE USO PRODUCTO YA INSTALADO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2231WJB0,8MWTW2231WJB0 (8MWTW2231WJB0),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2231WJB:HL93911842,2019-09-13,?,(?),2019/09,2019Q3,?,(?),2019,201939,2019-10-29,8MWTW2231WJB,8MWTW2231WJB (8MWTW2231WJB),HL93911842,?,(?),?,(?),GUANAJUATO,2019-09-27,2019/09,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
275.5,2019-12-12,2019/12,2019,?,66580,?,(?),2019-11-26,y, ,2770,BRAKE / CLUTCH (2770),ME02,DRUM (ME02),ME,MECHANICAL (ME),Cx,Mechanically misaligned (Cx),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,275.5,3,?,(?),0,N,0,232,CLUTCH/SUPERSTRUCTURE (232),2,POOR FIT/MISALIGN/MISASSEMBLED (02),NAR,North America (NAR),N,0,1086118229,SC,SERVICE CALL (SC),47485,47485 (47485),?,UNKNOWN (?),2019-12-09,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),RAMIA20 RUIDO ANORMAL AL AGITAR RECHINA,12/09/2019 NMC P: RUIOD AL AGITAR C: CAM SUELTO S SE AJSUTO CAM,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1900CG3,8MWTW1900CG3 (8MWTW1900CG3),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1900CG:HL93243111,2019-08-12,?,(?),2019/08,2019Q3,?,(?),2019,201932,2019-09-10,8MWTW1900CG,LAV. AUTOMATICA NE (8MWTW1900CG),HL93243111,?,(?),?,(?),NUEVO LEON,2019-08-13,2019/08,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
253.81,2019-12-07,2019/12,2019,?,76269,?,(?),2019-11-29,y, ,4000,MAIN MOTOR (4000),MR02,MOTOR (MR02),MR,MOTOR (MR),Ox,Burnt (Ox),?, ,A,Changed (A),MEX,Mexico (MEX),?, ,253.81,4,?,(?),0,Y,1,201,ACTUATOR SHIFT/SHIFTER (201),25,BURNED OUT (25),NAR,North America (NAR),N,0,1086078762,SC,SERVICE CALL (SC),78215,78215 (78215),?,UNKNOWN (?),2019-12-02,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),HERNAM24 / / / ROPA NO SE EXPRIME EN CENTRIFUGADO ///// NO ESTA CERCANO AL EQUIPO,P. NO EXPRIME C. ACTUADOR QUEMADO S. SE CAMBIA ACTUADOR,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL91891926,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-08-26,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL91891926,?,(?),?,(?),NUEVO LEON,2019-05-11,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
300.24,2019-12-11,2019/12,2019,?,32659,?,(?),2019-12-05,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,300.24,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086108369,SC,SERVICE CALL (SC),77954,77954 (77954),?,UNKNOWN (?),2019-12-06,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUGOSL// NO HACE EL CICLO DER LAVADO REP TERESA PENA MUEB V ILLARREAL TEL 6566499300,06/12 AL P. NO HACE CICLO C. NO PRESENTA FALLA S. SE DIO EXPLICACION,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1934MJM0,8MWTW1934MJM0 (8MWTW1934MJM0),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1934MJM:HL94241990,2019-10-05,?,(?),2019/10,2019Q4,?,(?),2019,201942,2019-12-04,8MWTW1934MJM,8MWTW1934MJM (8MWTW1934MJM),HL94241990,?,(?),?,(?),GUANAJUATO,2019-10-19,2019/10,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
275.13,2019-08-16,2019/08,2019,COAHUILA,27016,MX,Mexico (MX),2019-08-12,y, ,2720,DRIVE-PULLEY (2720),ME01,BELT-PULLEY (ME01),ME,MECHANICAL (ME),Cx,Mechanically misaligned (Cx),?, ,Y,No Part Replaced (Y),?,Not Available (?),?, ,275.13,1,?,(?),0,N,0,233,PULLEYS (233),2,POOR FIT/MISALIGN/MISASSEMBLED (02),NAR,North America (NAR),N,0,1085298936,SC,SERVICE CALL (SC),71389,71389 (71389),?,UNKNOWN (?),2019-08-13,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B), , ,Servicio,Servicio,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,Servicio,8MWTW1822EI2,8MWTW1822EI2 (8MWTW1822EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1822EI:HL92670261,2019-06-13,?,(?),2019/06,2019Q2,?,(?),2019,201926,2019-07-25,8MWTW1822EI,LAV. AUTOMATICA NE (8MWTW1822EI),HL92670261,?,(?),?,(?),ESTADO DE MEXICO,2019-06-27,2019/06,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
162,2019-12-05,2019/12,2019,?,64103,?,(?),2019-11-07,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,162,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086059085,SC,SERVICE CALL (SC),73677,73677 (73677),?,UNKNOWN (?),2019-11-08,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CLIENTE COMENTA QUE A LAVADORTA NO LAVA NI ENJUAGA SOLO EXPRIME Y SE ESCUCHA UN GOLPETEO EN EL INTERIOR,P. NO LAVA C. EQUIPO FUNCIONA S. SE DIO EXPLICACIXON,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1809EQ2,8MWTW1809EQ2 (8MWTW1809EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1809EQ:HL91889137,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-11-04,8MWTW1809EQ,LAV. AUTOMATICA NE (8MWTW1809EQ),HL91889137,?,(?),?,(?),ESTADO DE MEXICO,2019-05-16,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
0.01,2019-08-27,2019/08,2019,ESTADO DE MÉXICO,53690,MX,Mexico (MX),2019-08-26,y, ,6910,SENSOR (6910),CE02,ELECTRONIC_COMPONENT (CE02),CE,CONTROLS-ELECTRONICS (CE),Fx,"Snapped, stuck, jammed (Fx)",?, ,A,Changed (A),MEX,Mexico (MEX),?, ,0.01,2,?,(?),0,Y,1,118,UNBALANCE SWITCH / MOTION SENSOR (118),13,STUCK/FROZEN (13),NAR,North America (NAR),Y,0,1085372379,SC,SERVICE CALL (SC),59717,59717 (59717),?,UNKNOWN (?),2019-08-26,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),NO CENTRIFUGA,NO CENTRIFUGA C- SWITCH DE,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),2,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92784462,2019-06-19,?,(?),2019/06,2019Q2,?,(?),2019,201927,2019-07-21,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92784462,7105,MX Self Serv _ Clubs,2087975,"TIENDAS CHEDRAUI, S.A. DE C.V. (00020879",ESTADO DE MEXICO,2019-07-03,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),2086587,"TIENDAS CHEDRAUI, S.A. DE C.V. (00020865",,
207,2019-08-15,2019/08,2019,SAN LUIS POTOS�?,78436,MX,Mexico (MX),2019-08-12,y, ,9910,INSTRUCTION FOR USE (9910),II01,INSTRUCTION FOR USE (II01),II,Installation and Instruct (II),?,Not Available (?),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,207,1,?,(?),0,N,0,921,GENERAL INSTRUCT (921),RS,REPORTED BY STORE (RS),NAR,North America (NAR),N,0,1085294424,SC,SERVICE CALL (SC),47421,47421 (47421),?,UNKNOWN (?),2019-08-13,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUGOSL// NO HACE NINGUN CICLO_ SOLO SE OYE EL MOTOR// REP SOCORRO SANCHEZ MUEB FAMSA TEL 4445681044,EPR. P. SE QUEDO EN DRENO C. EXCESO DE DETERGENTE S. SE DAN EXPLICACIÓN Y RECOMENDACIONES DE USO APARTO SIN FALLA,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92229589,2019-06-03,?,(?),2019/06,2019Q2,?,(?),2019,201922,2019-08-05,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92229589,5100,MX National Chains (,2087876,"GRUPO FAMSA, S.A. DE C.V. (0002087876)",NUEVO LEON,2019-06-08,2019/06,2019,MX,Mexico (MX),NAR,North America (NAR),2086747,"GRUPO FAMSA, S.A.B. DE C.V. (0002086747)",,
0.01,2019-12-27,2019/12,2019,ESTADO DE MÉXICO,57158,MX,Mexico (MX),2019-12-17,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),Y,0,1086221124,SC,SERVICE CALL (SC),11100,CENTRO DE SOLUCIONES MEXICO (11100),?,UNKNOWN (?),2019-12-23,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUNARM1 RASGANDO LAS PRENDAS REP. MIGUEL GALINDO MUEB. LIVERPOOL TEL. 5557471000,MIRANF- DEJA CON BORLAS LA ROPA Y LA MALTRATA ROPA QUE SE METE A LAVAR NO SE COLOCA EN CICLO ADECUADO SE EXPLICO QUE DEPENDE LA ROPA QUE LAVE DEBE PROGRAMAR EN ESTE CASO LA ROPA QUE PRESENTA ES DELICADA POR LO TANTO SE RECOMIENDA USAR EN DELICADO EN TIENDA INDICAN QUE PARA CAMBIÓ DE PRODUCTO DEBEMO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2031WJM0,8MWTW2031WJM0 (8MWTW2031WJM0),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2031WJM:HL94361783,2019-10-13,?,(?),2019/10,2019Q4,?,(?),2019,201943,2019-11-29,8MWTW2031WJM,8MWTW2031WJM (8MWTW2031WJM),HL94361783,1100,MX Dep Stores (1100),2088950,"DISTRIBUIDORA LIVERPOOL, S.A. DE C. (000",ESTADO DE MEXICO,2019-10-27,2019/10,2019,MX,Mexico (MX),NAR,North America (NAR),2086386,DISTRIBUIDORA LIVERPOOL SA DE CV (000208,,
